BranchAndBound,artificial/01_knap_wc_100_200_11.csv,100,200,254,0:10:00,-,0:00:00.000447,254,200,10,-,-,
RatioSortGreedy,artificial/01_knap_wc_100_200_11.csv,100,200,254,0:10:00,-,0:00:00.003664,126.0,175.0,12.0,-,-,
ValueSortGreedy,artificial/01_knap_wc_100_200_11.csv,100,200,254,0:10:00,-,0:00:00.000240,283.0,267.0,4.0,-,-,
WeightSortGreedy,artificial/01_knap_wc_100_200_11.csv,100,200,254,0:10:00,-,0:00:00.000285,197.0,195.0,21.0,-,-,
RatiosortAndConvergeGreedy,artificial/01_knap_wc_100_200_11.csv,100,200,254,0:10:00,-,0:00:00.090890,252.0,200,15,-,-,
TopDownDynamicProgramming,artificial/01_knap_wc_100_200_11.csv,100,200,254,0:10:00,-,0:00:00.010656,223,200,8.0,-,-,
BottomUpDynamicProgramming,artificial/01_knap_wc_100_200_11.csv,100,200,254,0:10:00,-,0:00:00.010416,212,199,6.0,-,-,
FullyPolyNomial,artificial/01_knap_wc_100_200_11.csv,100,200,254,0:10:00,-,0:00:00.015907,213.99768,199,7,-,-,
GeneticProgramming,artificial/01_knap_wc_100_200_11.csv,100,200,254,0:10:00,-,0:00:00.012573,1964,1960,52,10,-,
AntColony,artificial/01_knap_wc_100_200_11.csv,100,200,254,0:10:00,50,0:00:00.125506,231,200,6,254,0.75,
Randomized,artificial/01_knap_wc_100_200_11.csv,100,200,254,0:10:00,100,0:00:00.010478,211,195,3,0.2,-,
BranchAndBound,artificial/01_knap_wc_100_200_11.csv,100,200,254,1:40:00,-,0:00:00.000500,254,200,10,-,-,
RatioSortGreedy,artificial/01_knap_wc_100_200_11.csv,100,200,254,1:40:00,-,0:00:00.002988,126.0,175.0,12.0,-,-,
ValueSortGreedy,artificial/01_knap_wc_100_200_11.csv,100,200,254,1:40:00,-,0:00:00.000292,283.0,267.0,4.0,-,-,
WeightSortGreedy,artificial/01_knap_wc_100_200_11.csv,100,200,254,1:40:00,-,0:00:00.000290,197.0,195.0,21.0,-,-,
RatiosortAndConvergeGreedy,artificial/01_knap_wc_100_200_11.csv,100,200,254,1:40:00,-,0:00:00.072984,252.0,200,15,-,-,
TopDownDynamicProgramming,artificial/01_knap_wc_100_200_11.csv,100,200,254,1:40:00,-,0:00:00.100552,254,200,11.0,-,-,
BottomUpDynamicProgramming,artificial/01_knap_wc_100_200_11.csv,100,200,254,1:40:00,-,0:00:00.101416,256,200,11.0,-,-,
FullyPolyNomial,artificial/01_knap_wc_100_200_11.csv,100,200,254,1:40:00,-,0:00:00.104370,255.99672,200,10,-,-,
GeneticProgramming,artificial/01_knap_wc_100_200_11.csv,100,200,254,1:40:00,-,0:00:00.013549,2135,2149,56,10,-,
