BranchAndBound,artificial/01_knap_wc_75_150_23.csv,75,150,185,0:10:00,-,0:00:00.000289,185,150,18,-,-,
RatioSortGreedy,artificial/01_knap_wc_75_150_23.csv,75,150,185,0:10:00,-,0:00:00.002964,132.0,165.0,14.0,-,-,
ValueSortGreedy,artificial/01_knap_wc_75_150_23.csv,75,150,185,0:10:00,-,0:00:00.000477,210.0,199.0,7.0,-,-,
WeightSortGreedy,artificial/01_knap_wc_75_150_23.csv,75,150,185,0:10:00,-,0:00:00.000382,140.0,145.0,25.0,-,-,
RatiosortAndConvergeGreedy,artificial/01_knap_wc_75_150_23.csv,75,150,185,0:10:00,-,0:00:00.053033,185.0,150,18,-,-,
TopDownDynamicProgramming,artificial/01_knap_wc_75_150_23.csv,75,150,185,0:10:00,-,0:00:00.010684,163,150,12.0,-,-,
BottomUpDynamicProgramming,artificial/01_knap_wc_75_150_23.csv,75,150,185,0:10:00,-,0:00:00.010413,151,148,8.0,-,-,
FullyPolyNomial,artificial/01_knap_wc_75_150_23.csv,75,150,185,0:10:00,-,0:00:00.013031,158.9984,149,8,-,-,
GeneticProgramming,artificial/01_knap_wc_75_150_23.csv,75,150,185,0:10:00,-,0:00:00.012704,606,603,42,10,-,
AntColony,artificial/01_knap_wc_75_150_23.csv,75,150,185,0:10:00,50,0:00:00.068857,157,149,9,185,0.75,
Randomized,artificial/01_knap_wc_75_150_23.csv,75,150,185,0:10:00,100,0:00:00.010195,158,150,6,0.2,-,
BranchAndBound,artificial/01_knap_wc_75_150_23.csv,75,150,185,1:40:00,-,0:00:00.000283,185,150,18,-,-,
RatioSortGreedy,artificial/01_knap_wc_75_150_23.csv,75,150,185,1:40:00,-,0:00:00.003316,132.0,165.0,14.0,-,-,
ValueSortGreedy,artificial/01_knap_wc_75_150_23.csv,75,150,185,1:40:00,-,0:00:00.000847,210.0,199.0,7.0,-,-,
WeightSortGreedy,artificial/01_knap_wc_75_150_23.csv,75,150,185,1:40:00,-,0:00:00.000381,140.0,145.0,25.0,-,-,
RatiosortAndConvergeGreedy,artificial/01_knap_wc_75_150_23.csv,75,150,185,1:40:00,-,0:00:00.087100,185.0,150,18,-,-,
TopDownDynamicProgramming,artificial/01_knap_wc_75_150_23.csv,75,150,185,1:40:00,-,0:00:00.070865,185,150,18.0,-,-,
BottomUpDynamicProgramming,artificial/01_knap_wc_75_150_23.csv,75,150,185,1:40:00,-,0:00:00.069553,185,150,18.0,-,-,
FullyPolyNomial,artificial/01_knap_wc_75_150_23.csv,75,150,185,1:40:00,-,0:00:00.086691,184.99624,150,18,-,-,
GeneticProgramming,artificial/01_knap_wc_75_150_23.csv,75,150,185,1:40:00,-,0:00:00.013417,613,601,37,10,-,
AntColony,artificial/01_knap_wc_75_150_23.csv,75,150,185,1:40:00,50,0:00:00.068264,158,146,8,185,0.75,
Randomized,artificial/01_knap_wc_75_150_23.csv,75,150,185,1:40:00,100,0:00:00.100211,162,150,6,0.2,-,
BranchAndBound,artificial/01_knap_wc_75_150_23.csv,75,150,185,16:40:00,-,0:00:00.000969,185,150,18,-,-,
RatioSortGreedy,artificial/01_knap_wc_75_150_23.csv,75,150,185,16:40:00,-,0:00:00.003232,132.0,165.0,14.0,-,-,
ValueSortGreedy,artificial/01_knap_wc_75_150_23.csv,75,150,185,16:40:00,-,0:00:00.000276,210.0,199.0,7.0,-,-,
WeightSortGreedy,artificial/01_knap_wc_75_150_23.csv,75,150,185,16:40:00,-,0:00:00.000304,140.0,145.0,25.0,-,-,
RatiosortAndConvergeGreedy,artificial/01_knap_wc_75_150_23.csv,75,150,185,16:40:00,-,0:00:00.063906,185.0,150,18,-,-,
TopDownDynamicProgramming,artificial/01_knap_wc_75_150_23.csv,75,150,185,16:40:00,-,0:00:00.071452,185,150,18.0,-,-,
BottomUpDynamicProgramming,artificial/01_knap_wc_75_150_23.csv,75,150,185,16:40:00,-,0:00:00.064553,185,150,18.0,-,-,
FullyPolyNomial,artificial/01_knap_wc_75_150_23.csv,75,150,185,16:40:00,-,0:00:00.090992,184.99624,150,18,-,-,
GeneticProgramming,artificial/01_knap_wc_75_150_23.csv,75,150,185,16:40:00,-,0:00:00.014298,646,647,41,10,-,
AntColony,artificial/01_knap_wc_75_150_23.csv,75,150,185,16:40:00,50,0:00:00.069772,160,150,8,185,0.75,
Randomized,artificial/01_knap_wc_75_150_23.csv,75,150,185,16:40:00,100,0:00:01.000223,157,150,7,0.2,-,
BranchAndBound,artificial/01_knap_wc_75_150_23.csv,75,150,185,6 days, 22:40:00,-,0:00:00.000368,185,150,18,-,-,
RatioSortGreedy,artificial/01_knap_wc_75_150_23.csv,75,150,185,6 days, 22:40:00,-,0:00:00.002748,132.0,165.0,14.0,-,-,
ValueSortGreedy,artificial/01_knap_wc_75_150_23.csv,75,150,185,6 days, 22:40:00,-,0:00:00.000249,210.0,199.0,7.0,-,-,
WeightSortGreedy,artificial/01_knap_wc_75_150_23.csv,75,150,185,6 days, 22:40:00,-,0:00:00.000365,140.0,145.0,25.0,-,-,
RatiosortAndConvergeGreedy,artificial/01_knap_wc_75_150_23.csv,75,150,185,6 days, 22:40:00,-,0:00:00.066770,185.0,150,18,-,-,
TopDownDynamicProgramming,artificial/01_knap_wc_75_150_23.csv,75,150,185,6 days, 22:40:00,-,0:00:00.071140,185,150,18.0,-,-,
BottomUpDynamicProgramming,artificial/01_knap_wc_75_150_23.csv,75,150,185,6 days, 22:40:00,-,0:00:00.064565,185,150,18.0,-,-,
FullyPolyNomial,artificial/01_knap_wc_75_150_23.csv,75,150,185,6 days, 22:40:00,-,0:00:00.084214,184.99624,150,18,-,-,
GeneticProgramming,artificial/01_knap_wc_75_150_23.csv,75,150,185,6 days, 22:40:00,-,0:00:00.015383,564,558,36,10,-,
AntColony,artificial/01_knap_wc_75_150_23.csv,75,150,185,6 days, 22:40:00,50,0:00:00.067349,162,150,9,185,0.75,
Randomized,artificial/01_knap_wc_75_150_23.csv,75,150,185,6 days, 22:40:00,100,0:00:10.000212,165,150,6,0.2,-,
